lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
0.0,0.0,,Office Building,1977.0,1618.0,10.0,2.0,"105 4TH ST Charlottesville, VA",105 4TH ST,Commercial,0,0.0,0.0
38.0261152,-78.45614499999998,I,Commercial,2013.0,20023.0,16.0,1.0,"329 RIVERSIDE AVE Charlottesville, VA",329 RIVERSIDE AVE,Commercial,0,1.0,1.0
38.0632943,-78.47175340000003,R,Group Care Home,1985.0,3724.0,8.0,2.0,"2003 GREENBRIER DR Charlottesville, VA",2003 GREENBRIER DR,Commercial,0,0.0,0.0
38.0425036,-78.49288309999999,R,Governmental Bldg.,1950.0,318.0,12.0,1.0,"1129 PRESTON AVE Charlottesville, VA",1129 PRESTON AVE,Commercial,0,0.0,0.0
38.0306367,-78.47063729999998,R,Mixed Retail w/Res Units,1950.0,1019.0,12.0,1.0,"402 11TH ST Charlottesville, VA",402 11TH ST,Commercial,0,0.0,0.0
38.0306706,-78.49195540000002,R,Multiple Commercial Use,1999.0,10800.0,12.0,1.35,"775 WALKER SQ Charlottesville, VA",775 WALKER SQ,Commercial,0,0.0,0.0
38.0306706,-78.49195540000002,R,Medical Office,1993.0,6096.0,10.0,2.0,"775 WALKER SQ Charlottesville, VA",775 WALKER SQ,Commercial,0,0.0,0.0
38.03090565,-78.49143595,R,Apartments 11-20 Units,2001.0,1640.0,10.0,1.0,"755 WALKER SQ Charlottesville, VA",755 WALKER SQ,Commercial,0,0.0,0.0
38.0306498,-78.4925073,R,Office,2001.0,2236.0,12.0,1.0,"725 WALKER SQ Charlottesville, VA",725 WALKER SQ,Commercial,0,0.0,0.0
38.0306498,-78.4925073,R,Office,2001.0,1952.0,12.0,1.0,"755 WALKER SQ Charlottesville, VA",755 WALKER SQ,Commercial,0,0.0,0.0
38.0306498,-78.4925073,R,Office,2001.0,2262.0,12.0,1.0,"760 WALKER SQ Charlottesville, VA",760 WALKER SQ,Commercial,0,0.0,0.0
38.0306498,-78.4925073,R,Office,2001.0,4500.0,12.0,1.0,"770 WALKER SQ Charlottesville, VA",770 WALKER SQ,Commercial,0,0.0,0.0
38.0306498,-78.4925073,R,Office,2001.0,2036.0,12.0,1.0,"725 WALKER SQ Charlottesville, VA",725 WALKER SQ,Commercial,0,0.0,0.0
